Comment,Anonymized Author,Published At,Likes,Reply Count
Our infrastructure hasn't got time for more road works for a minimal amount of electric vehicles,28f8d2e35731d7de1e3e9a1105a553ee,2023-09-17T15:59:11Z,0,0
what about when they spontaneously combust though ? seems to be trending.,47f79c22730d476265fd9c5afb371d13,2023-09-17T08:06:48Z,0,0
That seems doesn't work u have to be in center every time and costly,e20d2d6aafc576947ec59cbfeeacced1,2023-09-16T22:34:57Z,0,0
"""""""""""""I've always had this idea as long as i've heard about electric cars. But didnt know how viable it was.""  Absolutely! These athletes make it look effortless.""  The energy in this video is contagious. I'm hyped!""  I'm so impressed by their commitment to the game. True dedication.""  I wish I could've been there in person. The atmosphere must've been electric!""  I'm on the same page! This video is a masterpiece.""  I wish I had half the talent these athletes do. So inspiring!",168b951c1fd104231942f0348b1c19e3,2023-09-16T18:49:03Z,0,0
What in the fuck is going on with this comment section😂😂,5dd09feffc1133d0bf7839d5315e790f,2023-09-14T15:45:04Z,1,0
Wonderful,6dcad90dde30a1ba983ef80c68e54d2c,2023-09-14T05:13:49Z,0,0
"Its a great technology. There are many concerns.... many people have already listed it. 
The smaller problems.
1. Drive a straight line. Can be solve with a wider contactor(from the car) to compensate for the left and right swaying of the vehicle. 

Now the good thing. 
1. Good for traffic jams, where certain distance the vehicles (EV only and not IC engines) can charge their vehicle while going at a slow turtle pace or at a complete stop due to traffic congestion. 
a) it helps reduce the losses from such congestion. 
b) Only at moderate to massive congestion location. Not the entire road system.",9fe9f95afa1f02c8987cf58899e229dd,2023-09-13T13:11:47Z,0,0
"In day to day ev vehicles increase in our world the after effect of this  car owner face 2 problems like charging station and time for charge but the new innovation charging road has changed the situation it's wonderful gifts of ev owners because they can save time and charge their vehicles in easily. When looking into this new technology they are tested the project and it's successful from climate, safety, etc. They mentioned in this news 2025 the project has completed and it's a help of ev users.",4176c611a3c810cb9c37143b7763aff5,2023-09-12T19:20:52Z,0,0
I think that how the technology growing up.But still after few more years the car will be charge automatically with the help of AI.,a173179ab635432ddb2b3084f3d9cf57,2023-09-11T14:22:01Z,0,0
"I had a similar idea, have the highways setup similarly to old slot car tracks.  The cars would need a simplified self driving ability.
   Cars could charge while driving, and get by with smaller batteries for when they leave the main highway systems.
   Of course we would have to abandon the idiotic solar and wind power pipedreams and go nuclear.
   This would take a lot of load off the system from charging stations and be a big step in solving the battery problems",99670b9dcedbf4988e57e88a7dddc0f8,2023-09-11T01:26:37Z,0,0
"Its very amazing this happened all over the world. But it is impossible to happen all over the world it, s only possible in Developed countries especially the less populated.",6b5611f5b81197cd44848333fc414270,2023-09-10T13:16:32Z,0,0
The is such a good idea 💡 to increase the batter charge during the diving time. Without wasting time the battery charge will be increase. And also Tesla 🚗🔌🔋 is futuristic car they will introduce new new ideas for the electric vehicle industry... I will appreciate to the Elon mask for Tesla is coming to India 🇮🇳 that will change a big impact on the vehicle industry in india. Still I'm waiting for that.,f0bdcd2b7da506b9ab540795ff460305,2023-09-09T09:42:37Z,0,0
"Lovely country, lovely idea",70cbee54d4688eb8c46639dfb90b1d2f,2023-09-08T09:52:54Z,0,0
"Can't even fill the potholes, but they are going to electrify the roads.",46d2ee9eff1327b4c3170954a3e5033c,2023-09-08T00:52:37Z,0,0
I think Next level idea is this. May be future is like this. Great idea.,243c8e544dbaa98987ae277ed4e205fb,2023-09-07T14:37:05Z,0,0
not scalable.,17357c516b66d7441461cc09d516e4dd,2023-09-06T17:25:36Z,0,0
Feel like this would only work on motorways but then would cause a whole bunch of other problems,90eca7dcd4bf1a8ed11744d7bd3dd739,2023-09-06T14:59:47Z,0,0
The future is here…wow wire and see 100 percent sure this technology coming to the entire world soon,f3e58313b3221e51cf0942fd262eb07d,2023-09-04T17:24:45Z,0,0
Definably its a futuristic transportation model but need some rectifications and caution about if its crash or accidents occur how we can solve then problem. I support technology what i want in future.,d6ee3de990aa22011f0271fd47f8815b,2023-09-04T05:57:52Z,0,0
Terrible idea. I have a better more simple solution.,7c1f69dbcd700d2724bc33ec58602be1,2023-09-04T02:08:29Z,0,0
Just build trains and rail.,ab94b39a085662f3cb000abf6d2d3810,2023-09-03T22:23:12Z,0,0
An electric road is a very brilliant idea compared to an electric charging station. Reducing no of batteries brings down the initial cost of electric vehicles.,65f7dc329238fe58baa5010674baaa8b,2023-09-03T17:40:38Z,3,0
It's a innovative idea of a modern world and sure it's could been successful. Congratulations and welcome to the new helpfull and innovative ideas.,63cc976034aacf4f5fc9093f954bfe75,2023-09-03T17:12:22Z,0,0
"What, are they going to install chargers in the potholes. What a load of nonsense. Report some real news please!!!",97aae90ecc2092d63941d99e3e861a31,2023-09-03T06:02:28Z,0,0
"Please give yours number,😭😭please everyone",98281a9f8226d336e590d9b1082ee68a,2023-09-02T02:17:41Z,0,0
"Our Iron foundry had Transfer cars that were powered up by electric power in 1927, this electric car idea was been in use in America for many years now and these news shows only prove how ignorant the scientist are and how stupid the governments are for waiting so long to advance electric vehicles for all publis transportation. It’s incredible to me how bloody stupid our Authority of transportation is because our planet is now dying and the Atheists elites fear they will go broke and be poor!",4a7719c935ac17dec85d12a0ba9ef06c,2023-09-01T11:24:58Z,0,0
How is it going to work for drivers like me who can't stay in one lane for more than 30 seconds?,16fb68675d95d849bcbcde9152e4d132,2023-09-01T03:47:11Z,0,0
This technology is good the electrical vehicles,63e153a2c8123b7ef5da1833494c5538,2023-08-31T14:06:51Z,0,0
Why not use wireless charger on road,72e7ca3ff0aab59536fbbdec6b59a387,2023-08-28T13:30:50Z,0,0
I think they are not considered the weather conditions,a43c3a1b0032dbca48583290d3a00f37,2023-08-27T05:26:03Z,0,0
Great infrastructure  invention for better tomorrow,d9f6ef29e72572eb3649e5d4eaa95e86,2023-08-26T20:12:20Z,0,0
Not a good idea to stand by electrical transformers or grids during operations.,bee6d11239dd410b5a37bb7d1672318b,2023-08-25T18:38:29Z,0,0
"Who will maintain all of this fancy infrastructure. Heck we can not maintain the roads we already have. And all that electricity has to come from someplace, where? Renewable power just will not do the job. What about the cost to the drive and public?",18e13aa708bed18fb3a9ef71d270de62,2023-08-24T20:53:59Z,0,0
Why can't the battery be charged⚡ on a hybrid vehicle🚗 when using fuel⛽?,d8465f25da5bf7506419e055c0e4dd8e,2023-08-23T02:48:47Z,0,0
"How long 'til the car has a ""Thermal Runaway""?",c7c4867293265b90814feb46d2acc5d8,2023-08-22T16:04:48Z,0,0
NAH,f42d517b42761a88d611e793ea8d96f3,2023-08-22T01:56:45Z,0,0
meme worthy...,6f7200b7ef1f95f4894318c49d6919a8,2023-08-21T00:44:06Z,0,0
"hello dear friends.  I am Russian, I am not a native speaker, please forgive me for possible errors in the text.  My very close friend, a Ukrainian, was held hostage in Somalia because he is gay, he was constantly subjected to sexual violence and other bullying.  me and my friends friends managed to raise money and find an opportunity to redeem it.  But those people who helped me had difficulties, they were able to buy it out, but my friend ended up in Cambodia and got stuck there.  Now he is in a very bad condition, he has cancer, doctors in Cambodia cannot help him.  I found a Rambam clinic in Israel who agreed to help.  But the fact is that I sold an apartment in Russia in order to ransom my Ukrainian friend from the hostages in Somalia.  now I have no money to help him, moreover, I have no opportunity even to go to him.  One good friend helped me open crypto wallets, because.  I don’t understand anything about this, and advised me to ask for help on the Internet.  Dear friends, brothers and sisters, no matter how hard it is for me to seek help in this way, but I am in despair and have to turn to you for help, everyone who has the opportunity to help, I beg you Help.  as much as you can, at least a cent even a dollar, any financial support can save a person who has learned a lot of suffering in his 30 years.  Thanks everyone.

 Here is the number of the wallet where help for Nikita is accepted:

BTC:
bc1qakq7mky63kwm38n3aecggc4has6lpl95nhc8mh

 USDT (network ERC 20) 0x906ee4939dc1e2d89ffec33a4ac04e92889415b8",b5b6011e78020efcddf965f2969ccaf4,2023-08-20T13:02:25Z,0,0
"Brussels Broadcasting Company (BBC) ?
1995 population 57.9 million people 
2022 population 67.9 million people 
Liberal & labour open door political system has created ?
A housing crisis, 6000 properties rented for illegal immigrants?
BBC promote that white English responsible for all atrocities in world 
NHS meltdown ( new policy colour comes first?)
NHS managers not doctor’s & nurses, art works not buildings?
BBC spin every boat full of doctors & nurses ? LOL
10 million more using gp’s & dentist’s 
Labour and unions trying to bring government down with general strike?
Crime crisis (rape, thief, grooming gangs not investigated )
Police only protect MP’s and have arrested 3300 for free speech?
Grooming gangs ( supposedly it’s a hate crime to criticise ? )
Power shortage ( when cold this winter thank a green ?)
Net zero is a joke, price 1 to 3 trillion pounds depending upon how fast the rollout?, 300,000 new engineer’s required ?
Nhs waiting lists, 10 million reason’s no beds ?
40 thousand pounds per illegal immigrant average spend ?( estimated cost 3 billion a year ? , that’s a large hospital a year ?)
High house prices, 10 million reason’s there are no houses ?
Terror attacks on streets but no police?
Conservitive party sign us back into EU 2.0 but no referendum ?
Five million on benefits but somehow we need immigrants?
Free speech outlawed, even thinking is now a arrest able offence?
.",a2a9855ac866644414f2561b3ef30fc5,2023-08-19T17:51:19Z,0,0
Let’s have fast charging stations everywhere. That’s the priority now,1446280c66874b4f510cbb97aacf44c5,2023-08-18T18:06:34Z,0,0
Any invention that will keep us from building public transport 😂😂😂,cb61836932917473ec1d245f7fe3df4b,2023-08-18T13:46:02Z,0,0
"''Scalextric''  Try again Adrienne. Ask your kids how to pronounce it, or just read the letters in order!",1230f8e5a30f7cb9cf6a62b6357f86d9,2023-08-18T08:27:42Z,0,0
"Sixty years ago, many UK cities had electric vehicles driven by current from overhead conductors. They were called trolley buses.",594409f3d4a0d437d12771210dfaf110,2023-08-17T21:31:45Z,2,0
Actually the Rockland asphalt and paint on the road can concentrate magnetic field if the car help it concentrate the field strong enough it will charge the coil underneath and when the car left the road part left behind is the same as all other road,3c4839f5c5a34576167905998b88063c,2023-08-16T23:40:24Z,1,1
"Interesting idea but what about rain, snow, ice, heatwaves? Why not wireless?
What about wear & tear? When does it needs replacing? What happens when water leaks or something breaks? How about flooding of the road?
So much technical details & reasoning not explained here.",295fd34f3a32bb9e1a592574a2a1669d,2023-08-16T15:53:44Z,0,0
Who's gonna tell the beeb about solar roadways?,c08b4d55e7d669dfed58e642f63a8dce,2023-08-16T08:06:46Z,0,0
Really interesting. Now where's Epstein's client list?,7bef5887a39830a4b29324d98710d1b0,2023-08-15T16:57:00Z,0,0
Concerning on Safety and inconvenience. How about if we have battery stations like gas stations to swap the car battery automatically?.,09b0a066e2dbe415fb61e7d462aeff9e,2023-08-15T08:06:04Z,0,0
You have to keep driving on a perfect line to get charged?...Not a best idea. Don't worry...We're not too far from the tech that converting radio signal into electric one.,09b0a066e2dbe415fb61e7d462aeff9e,2023-08-15T07:40:03Z,0,0
This again but 100 odd years later. 😂,dbe14865e6902e37a8d22d566fdbd8cd,2023-08-15T05:08:16Z,0,0
"I’ve been jog searching a while now… I know I can help with connections between sectors and work with health, climate and tools.  The obviousness of usurpations gets tiring and is hurtful, but usually can also garner some bright spots of need and nuggets.  

The Carolinas area, the TVA areas, northwest, west… lots of commonalities and needs. The thing is… the bright spots sometimes get too much “help”… and the avalanche of “help” AND market seeking is a lot. It’s not really bad… shoot, that sort of thing also shines lights of obvious board and grant work just run away with usurpations and ideology centric proliferation; hard to watch sometimes…. Persons and people are good, but oh my… people need space to realize and be better…. Around the corner… not “put in a corner”… big differences there.  

#LoveEVICTShate",ebad87d3955892aea5baa57a06c7ce1e,2023-08-12T14:11:01Z,0,0
"I love rural, urban and suburban communities and all points in between. 

Boston, Baltimore, Chicago…. The surprising areas as well… I love Florida too… it can be frustrating at times.  I’m hopeful, but also realistic.",ebad87d3955892aea5baa57a06c7ce1e,2023-08-12T14:04:00Z,0,0
"Got to hand it to the BBC, always coming up with new and creative ways, to waste more of our tax payers money",aad83d50d806eec146a64493fdf78cd1,2023-08-11T13:42:42Z,0,0
They stole my idea 😂,b5ef212be89c8a0a5583df42558cf482,2023-08-11T05:27:11Z,0,0
"What if it rains, what if it snows 😢!!!",6c9cf946877680744b595253c18dd34e,2023-08-10T08:30:34Z,0,0
Removable batteries is the future. Charge in doors thanks.,6a04e583cbbb3a29c1187162c3211bec,2023-08-08T20:50:34Z,0,0
"It ain't going to happen, EV's are going the same way as TSR2 !",33bf89a2401f8e174023d501bf86afdf,2023-08-08T14:50:37Z,0,0
Imagine this is Mumbai 🤣,80677e115b4859319b7d38d5f582f42b,2023-08-08T04:35:21Z,0,0
"There is no indication if you were disliked in this town of public transport where they don't dig public subways to your bus stop where you grow crops so maybe it would help. Hydrogen and tokamaks are not read yet anyway until 2025 after disconeting that brell, but what would you ask if some IT company would refuse all your employment proposals?",dbc08ddfb2e974d056fa165af5129de7,2023-08-07T15:39:02Z,0,0
"THE EV ""RIP OFF"" SET TO INCREASE !!!
Another Con trick the public will pay for. You do NOT need ""Electric Roads"" to recharge EV's whilst on the move. You only have to fit them with an onboard Dynamo or Alternator. But then the Governments won't be able to TAX your EV's recharging methods, as Fuel TAX dwindles !!!!",8657629ba9d3ab9b279ef487b8882632,2023-08-03T18:42:58Z,0,0
"From a purely engineering point this is an absurd plan, the term efficiency relates to how much energy would be wasted so say a direct charge has an 83% efficiency and could be up to 90% a system like this would only amount to a 50% efficiency at best but most likely being closer to 40% meaning we would have to produce roughly twice the amount of energy to charge the vehicles. 

Factor in the insanely high carbon emissions production of EV have in the first place this system would cause higher global emissions than your combustion engine automobile.",1d89d3f4f28da91d3dfc7e0fe3d2764b,2023-08-02T11:39:54Z,0,0
"As a mechanical and aerospace engineer I find it preposterous we are switching to electric cars in the first place. Electric cars currently at least are of lower quality and longevity compared to your average combustion vehicle plus the carbon footprint due to the higher production output would only be marginally less than a combustion car.

The future should be an initial push to hybrid cars while we try to innovate in the electric storage (battery) technology and electric grid. If the electric grid like in today is largely depended on gas it makes little sense to switch to electric as we are still contributing to global warming.

The automotive industry as a whole is responsible for roughly 28% of emissions worldwide while electricity production is responsible for a further 25%. What we need in order to tackle global warming is a concentrated effort towards efficiency around all sectors rather than trying to set up a whole new system. 

Increasing the share of renewable technologies, investing in lab grown meat products, making the car industry more efficient by better hybrid technology, lowering industry (23% of total emissions) carbon footprint and improving residential energy efficiency such as phasing out pollutant gas heating would represent a 50% drop in emissions by 2030 rather than gutting the cad industry in a empty effort to show voters government is doing something about climate change.",1d89d3f4f28da91d3dfc7e0fe3d2764b,2023-08-02T11:33:15Z,0,0
Wireless charging better,8e07122c54fe0165c26d2c8500503d4e,2023-08-02T10:05:55Z,1,0
Vehicle,a9e25aa1198b8a2f45ffbd17e39f23ed,2023-08-01T13:18:52Z,0,0
💚,d18cbc8c9f20afd725f670a25c897af8,2023-08-01T11:24:01Z,0,0
nya.. not good idea. i thought it was rejected long ago.,b5fa72bc4e12413bf6e46c248ce5c41a,2023-08-01T07:36:36Z,0,0
"Main take away, BBC presenters are above driving vans",def9dd87bb4be47e229767532bbcbeec,2023-07-30T07:16:24Z,0,0
Does it drive in -40 degree weather,c03ad4f138bf31afa75ed87d9248812d,2023-07-29T20:31:28Z,0,0
ELECTRICAL CARS IS A DISGUSTING SATANIC AGENDA JUST BECAUSE RUSSIA CUT OF THE BARGAIN OIL THAT OUR GOVERNMENT WAS GETTING FOR BARGAIN PRICE AN SELLING IT TO OUR PUBLIC FOR MORE FOR PROFIT'S NOW THAT RUSSIA CUT IT OFF AN THERE THERE NOW BEGGING LIKE BEGS FOR OIL SAME TIME THERE WAGEING A WAR BEHIND THE SCENES THIS IS ROYAL NATZI SATANIC FAMILY IMPERIALISTIC WAR TO CONTROL THE WORLD ITS DISGUSTING AN SATANIC TO THE CORE,b439602fa1477941f7bd78cb7288dd25,2023-07-29T15:29:59Z,0,0
https://youtube.com/@lifeinbirmingham,4ca45ac9f2582e89d00a78dd5d2f2219,2023-07-29T07:45:58Z,0,0
Let's focus on the electric train. Cars are things of the past.,516a6828a79c36f9197445c34797787d,2023-07-28T15:11:12Z,0,0
"Vulnerable to emp, trying to destroy global economy won't work when, the straight world doesn't hold emp technology tho, hopefully you're own people are your own end",19056cd8c873b4f85110e607f18fc52d,2023-07-28T06:36:56Z,0,0
"I assume at winter time you would have a heating element on the actual charging part, but it would also force people to drive at a very identical driving lane to keep connection, forming deep and somewhat dangerous tire tracks in the ice normal buildup on the road. Then there's the question of salting the roads as we do here. I would assume a salt and slush mixture would not be kind to the charging system, at least not in the long term, making it require even more maintenance from all parties.

Don't get me wrong, I like it because it's cool and futuristic, but I'd guess there might be a multitude of practical problems yet to be solved or even thought of with this technology.",5d8abc59e193d27b3418cb9d585b9ef0,2023-07-26T20:57:20Z,3,2
Looks a lot like how streetcars operate.,9fa45aa2c8f1d1df844a9f115e13d195,2023-07-25T12:20:44Z,0,0
It's called a tram. Build more charging points on sidewalks.,066d7cff006048371165ba76dda9f7d8,2023-07-21T09:22:20Z,0,0
I would love to see how this would work in India 🤣,ee95ce450eff8952f2cc9da9699b552c,2023-07-21T03:02:09Z,0,0
Ugh!!!!!!!,6b18271a5403494c0a3eb07fd42e7313,2023-07-19T19:48:45Z,0,0
Kya gajab chutiyapa hai bhai,0058f15a0ca0d098c373a00c998d8b99,2023-07-17T18:40:17Z,0,0
"At this point, I can say that Trams are reinvented",b0e4beddd24231b4d1f8d4f52ac9ba6e,2023-07-17T13:54:22Z,0,0
This will definitely NOT work in countries where it snows and where there is ice.,48f351dfe36b51d1d68a1e5bfb68fb16,2023-07-16T21:54:41Z,0,0
"To sell a car in which we will be stuck in traffic jams to charge, you have to convince people that they have the whole planet to save while waiting 😂😂😂😂😂",e33781dd990a34656d50ad9a584f57a4,2023-07-16T09:36:22Z,0,1
"Pay as you drive, only those who comply with the WEF's agenda get access to a car, you will own nothing and be happy. #climatecon. What happens when it is snowing? Or when those unhappy trash this.",4b8f523c6a64cdc40a9a691614733c92,2023-07-15T09:28:03Z,0,0
Is this not how trains work 💀💀💀??? Anything but a train🤣🤣,e8f355ea490c78a89c45f4876a65817d,2023-07-14T18:33:48Z,0,0
Oh good digging up the roads again.🙄,4c50ea2f57c83631073f7ed7b4b2fb6b,2023-07-14T05:58:38Z,0,0
"We've come full circle guys, humanity is about to make what is essentially a worse version of a train",d34c4182d313529b17d409c3322769bb,2023-07-14T04:40:24Z,0,0
"How to make roads cost even more money and increase maintenance costs.
Also there's definitely a potential lawsuit by Elon Musk. Calling the company ELONROAD, branded on a Tesla. When Elon Musk's name is so synonymous and inseparable from the electric car make, is riding on the coattails of Tesla and Elon. Looks like trademark infringement.",8d027010a82fad3651d7a49ddff57d10,2023-07-14T04:09:47Z,0,0
"Great, what happens when there is a fuel spill?",26d36e28d1f3b0a7f91d4d89495eab6e,2023-07-13T23:31:06Z,0,0
"DIVULGUEN ESTO.
AUTOPSIA.CAUSA MORTIS.OXIDO DE GRAFENO.
FIN GRACIAS.",f8d1f3dbfe6f64d0c0bf149ef4c43bd4,2023-07-13T14:16:16Z,1,0
Yet in the same time they make bad news on nickel mining in Indonesia when the country makes a raw material export ban making nickel more expensive for the western countries but looks like westerm countries is the number one user of those dirty nickel huh. Western hipocrisy as usual,269b047a26745cde3397ba41197397c5,2023-07-12T18:51:59Z,0,1
"Caution: DO NOT piss on the third rail.

This seems difficult. You'd have to hold your lane very precisely. Induction roads would be less efficient but much easier to implement. Personally, I like system with overhead contactors for large vehicles like busses and tractors. The system has worked great for trains for the past 1035 years.",bc70bd91f8745f21c656e7a81d712078,2023-07-12T13:30:04Z,1,0
"Great, now we need to rebuild all our roads instead of just changing cars. Dumb idea. H2 is the future, not Batterys.",7691a85c1a5f2682ef3e0eb70c879d88,2023-07-12T09:54:17Z,0,0
So this is why they've been digging all the rounds up across the UK for the past 18 months.,5cdff23d728e28579c6dca6216d41812,2023-07-12T03:44:26Z,0,0
They only want you to have an electric car so they can turn your car off if you say or think the “wrong thing”,82a6a7635596d34673180538d79a1281,2023-07-11T23:47:01Z,1,1
Complete bollocks.,6fd643ac95b9639d5403c7bcc2ef869b,2023-07-11T22:33:59Z,0,0
More insanity.,1d3aef7666afef0576b11d59170ac005,2023-07-11T22:01:42Z,0,0
"In Europe no fast and furious😂 
In China they have battery box  you just change or spare",700d2b597cdddb274ec3766b2dbc9501,2023-07-11T14:39:28Z,0,0
its all a con defundthebbc,14817d6fb8ddba6089f93e7fd33e1c4c,2023-07-11T12:23:39Z,0,0
